R2,73.55,12.71,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.47,55.77,270.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,120.40,50.13,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,149.01,5.63,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,93.50,61.05,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB,146.65,52.25,90.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,72.79,17.71,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,70.63,14.71,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,36.72,48.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,46.91,35.75,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,55.10,35.82,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,51.79,35.82,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,74.48,28.37,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,48.95,108.13,180.00,,MYBUTTON
R_BOOT,20.22,107.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.42,63.12,180.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.29,107.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,72.78,28.63,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.39,107.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,149.59,10.24,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,70.04,12.79,0.00,,SJ
TP1,18.99,71.99,0.00,TPTP20R,TP20R
TP10,33.40,14.41,0.00,TPTP20R,TP20R
TP11,18.05,14.31,0.00,TPTP20R,TP20R
TP12,69.65,66.52,0.00,TPTP20R,TP20R
TP13,64.40,66.31,0.00,TPTP20R,TP20R
TP14,120.85,13.41,0.00,TPTP20R,TP20R
TP15,23.50,14.31,0.00,TPTP20R,TP20R
TP16,29.25,14.31,0.00,TPTP20R,TP20R
TP17,116.00,13.41,0.00,TPTP20R,TP20R
TP2,23.41,71.99,0.00,TPTP20R,TP20R
TP3,126.03,13.49,0.00,TPTP20R,TP20R
TP4,85.85,83.09,0.00,TPTP20R,TP20R
TP5,27.97,72.09,0.00,TPTP20R,TP20R
TP6,32.59,72.09,0.00,TPTP20R,TP20R
TP7,85.91,74.19,0.00,TPTP20R,TP20R
TP8,85.83,78.69,0.00,TPTP20R,TP20R
TP9,74.65,66.79,0.00,TPTP20R,TP20R
U1,41.69,54.56,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,52.74,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.45,55.60,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,134.37,53.92,0.00,MAX17048G+T10,SON50P200X200X80-9N
